Human Ensembl Gene ID,V1,    Yeast Ensembl Gene ID,Yeast Gene Name(s),   % Identity with respect to human gene, % Identity with respect to yeast gene
ENSG00000146223,RPL7L1,YGL076C,Rpl7a,33,33
ENSG00000108590,MED31,YGL127C,SOH1,31,32
ENSG00000198755,RPL10A,YGL135W,"RPL1B,RPL1A",59,59
ENSG00000085224,ATRX,YGL163C,Rad54,7,20
ENSG00000174437,ATP2A2,YGL167C,PMR1,27,30
ENSG00000164162,ANAPC10,YGL240W,Doc1,29,22
ENSG00000165630,PRPF18,YGR006W,PRP18,19,26
ENSG00000128524,ATP6V1F,YGR020C,VMA7,41,52
ENSG00000213246,SUPT4H1,YGR063C,spt4,38,44
ENSG00000155959,VBP1,YGR078C,PAC10,37,36
ENSG00000186468,RPS23,YGR118W,"RPS23A,RPS23B",78,77
ENSG00000075856,SART3,YGR159C,NSR1,5,11
ENSG00000115053,NCL,YGR159C,NSR1,16,28
ENSG00000110321,EIF4G2,YGR162W,TIF4631,11,11
ENSG00000114867,EIF4G1,YGR162W,TIF4631,11,19
ENSG00000156970,BUB1B,YGR188C,BUB1,11,11
ENSG00000169679,BUB1,YGR188C,BUB1,14,15
ENSG00000172315,TP53RK,YGR262C,BUD32,33,32
ENSG00000105821,DNAJC2,YGR285C,ZUO1,23,33
ENSG00000112096,SOD2,YHR008C,Sod2,45,42
ENSG00000131469,RPL27,YHR010W,RPL27A,56,56
ENSG00000104835,SARS2,YHR011W,DIA4,26,30
ENSG00000177954,RPS27,YHR021C,RPS27B,70,72
ENSG00000117410,ATP6V0B,YHR026W,PPA1,49,47
ENSG00000101181,GTPBP5,YHR168W,MTG2,30,24
ENSG00000105793,GTPBP10,YHR168W,MTG2,28,21
ENSG00000142657,PGD,YHR183W,gnd1,66,65
ENSG00000198034,RPS4X,YHR203C,"RPS4A,RPS4B",71,72
ENSG00000077549,CAPZB,YIL034C,CAP2,47,45
ENSG00000214253,FIS1,YIL065C,FIS1,24,24
ENSG00000155229,MMS19,YIL128W,MET18,23,22
ENSG00000134597,RBMX2,YIR005W,IST3,20,43
ENSG00000139168,ZCRB1,YIR005W,IST3,12,18
ENSG00000077312,SNRPA,YIR009W,Msl1,11,27
ENSG00000141252,VPS53,YJL029C,VPS53,20,21
ENSG00000171858,RPS21,YJL136C,RPS21B,55,53
ENSG00000144231,POLR2D,YJL140W,RPB4,26,17
ENSG00000157540,DYRK1A,YJL141C,YAK1,19,18
ENSG00000106462,EZH2,YJL168C,Set2,8,8
ENSG00000198918,RPL39,YJL189W,RPL39,63,63
ENSG00000142168,SOD1,YJR104C,SOD1,55,55
ENSG00000198034,RPS4X,YJR145C,"RPS4A,RPS4B",71,72
ENSG00000188846,RPL14,YKL006W,RPL14A,26,41
ENSG00000053372,MRTO4,YKL009W,MRT4,37,37
ENSG00000099917,MED15,YKL054C,def1,10,10
ENSG00000168496,FEN1,YKL113C,RAD27,57,57
ENSG00000027001,MIPEP,YKL134C,OCT1,33,30
ENSG00000136807,CDK9,YKL139W,CTK1,31,22
ENSG00000167258,CDK12,YKL139W,CTK1,10,30
ENSG00000135070,ISCA1,YLL027W,ISA1,46,24
ENSG00000116251,RPL22,YLR061W,RPL22A,45,47
ENSG00000163584,RPL22L1,YLR061W,RPL22A,43,43
ENSG00000168827,GFM1,YLR069C,MEF1,53,52
ENSG00000145592,RPL37,YLR185W,RPL37A,58,64
ENSG00000104131,EIF3J,YLR192C,HCR1,23,23
ENSG00000169230,PRELID1,YLR193C,UPS1,25,31
ENSG00000204220,PFDN6,YLR200W,YKE2,40,46
ENSG00000177302,TOP3A,YLR234W,TOP3,26,39
ENSG00000078142,PIK3C3,YLR240W,VPS34,36,36
ENSG00000164024,METAP1,YLR244C,map1,49,49
ENSG00000110063,DCPS,YLR270W,DCS1,28,27
ENSG00000100412,ACO2,YLR304C,ACO1,66,66
ENSG00000111229,ARPC3,YLR370C,ARC18,44,44
ENSG00000011376,LARS2,YLR382C,nam2,34,34
ENSG00000139719,VPS33A,YLR396C,VPS33,22,19
ENSG00000005339,CREBBP,YLR399C,BDF1,3,12
ENSG00000141867,BRD4,YLR399C,BDF1,11,22
ENSG00000158526,TSR2,YLR435W,TSR2,25,23
ENSG00000159720,ATP6V0D1,YLR447C,VMA6,44,45
ENSG00000089009,RPL6,YLR448W,RPL6B,28,45
ENSG00000145425,RPS3A,YML063W,rps1b,56,58
ENSG00000089009,RPL6,YML073C,RPL6A,27,45
ENSG00000123349,PFDN5,YML094W,GIM5,34,33
ENSG00000110871,COQ5,YML110C,COQ5,41,44
ENSG00000141385,AFG3L2,YMR089C,YTA12,43,41
ENSG00000148824,MTG1,YMR097C,mtg1,28,25
ENSG00000204628,GNB2L1,YMR116C,ASC1,53,52
ENSG00000136937,NCBP1,YMR125W,STO1,17,15
ENSG00000167526,RPL13,YMR142C,RPL13B,46,49
ENSG00000105193,RPS16,YMR143W,"RPS16A,RPS16B",61,62
ENSG00000197299,BLM,YMR190C,SGS1,18,18
ENSG00000130348,QRSL1,YMR293C,HER2,29,33
ENSG00000144741,SLC25A26,YNL003C,PET8,46,44
ENSG00000108826,MRPL27,YNL005C,mrp7,30,12
ENSG00000142541,RPL13A,YNL069C,RPL16B,54,55
ENSG00000127337,YEATS4,YNL107W,YAF9,31,31
ENSG00000163872,YEATS2,YNL107W,YAF9,3,22
ENSG00000113312,TTC1,YNL121C,Tom70,14,7
ENSG00000154174,TOMM70A,YNL121C,Tom70,20,19
ENSG00000105254,TBCB,YNL148C,alf1,19,18
ENSG00000204843,DCTN1,YNL148C,alf1,1,7
ENSG00000174547,MRPL11,YNL185C,MRPL19,32,39
ENSG00000035687,ADSS,YNL220W,ADE12,52,55
ENSG00000137054,POLR1E,YNL248C,RPA49,19,19
ENSG00000113522,RAD50,YNL250W,rad50,25,25
ENSG00000105372,RPS19,YNL302C,RpS19b,48,48
ENSG00000128626,MRPS12,YNR036C,mRpS12,46,42
ENSG00000111300,NAA25,YOL076W,MDM20,17,20
ENSG00000132423,COQ3,YOL096C,COQ3,23,27
ENSG00000105372,RPS19,YOL121C,RpS19a,48,49
ENSG00000171824,EXOSC10,YOR001W,rrp6,24,29
ENSG00000171863,RPS7,YOR096W,RPS7A,51,52
ENSG00000239857,GET4,YOR164C,GET4,25,26
ENSG00000132394,EEFSEC,YOR187W,tuf1,17,24
ENSG00000178952,TUFM,YOR187W,tuf1,54,56
ENSG00000121897,LIAS,YOR196C,LIP5,55,49
ENSG00000198836,OPA1,YOR211C,MGM1,19,21
ENSG00000124614,RPS10,YOR293W,RpS10a,34,53
ENSG00000131100,ATP6V1E1,YOR332W,vma4,34,33
ENSG00000152904,GGPS1,YPL069C,Bts1,41,37
ENSG00000137154,RPS6,YPL090C,"rps6b,RPS6A",59,62
ENSG00000086200,IPO11,YPL125W,KAP120,25,25
ENSG00000114503,NCBP2,YPL178W,CBC2,49,37
ENSG00000197756,RPL37A,YPR043W,"RPL43A,RPL43B",66,66
ENSG00000145982,FARS2,YPR047W,msf1,36,35
ENSG00000088038,CNOT3,YPR072W,NOT5,20,28
ENSG00000173418,NAA20,YPR131C,NAT3,47,43
ENSG00000186468,RPS23,YPR132W,"RPS23A,RPS23B",78,77
ENSG00000198554,WDHD1,YPR135W,CTF4,15,18
ENSG00000100603,SNW1,YAL032C,prp45,21,30
ENSG00000132383,RPA1,YAR007C,RFA1,31,31
ENSG00000120800,UTP20,YBL004W,Utp20,20,23
ENSG00000163933,RFT1,YBL020W,Rft1,24,22
ENSG00000073111,MCM2,YBL023C,mcm2,43,45
ENSG00000204392,LSM2,YBL026W,LSM2,63,63
ENSG00000014138,POLA2,YBL035C,pol12,25,21
ENSG00000008018,PSMB1,YBL041W,PRE7,44,44
ENSG00000105402,NAPA,YBL050W,sec17,34,35
ENSG00000196305,IARS,YBL076C,ILS1,45,53
ENSG00000004897,CDC27,YBL084C,cdc27,26,28
ENSG00000144713,RPL32,YBL092W,rpl32,59,62
ENSG00000121152,NCAPH,YBL097W,BRN1,20,20
ENSG00000117682,DHDDS,YBR002C,RER2,33,38
ENSG00000138777,PPA2,YBR011C,IPP1,42,49
ENSG00000180817,PPA1,YBR011C,IPP1,52,52
ENSG00000133028,SCO1,YBR024W,SCO2,27,27
ENSG00000101161,PRPF6,YBR055C,prp6,27,28
ENSG00000115942,ORC2,YBR060C,ORC2,19,17
ENSG00000172339,ALG14,YBR070C,ALG14,32,30
ENSG00000107581,EIF3A,YBR079C,rpg1,16,23
ENSG00000123200,ZC3H13,YBR079C,rpg1,3,5
ENSG00000073969,NSF,YBR080C,SEC18,45,44
ENSG00000133119,RFC3,YBR087W,RFC5,43,43
ENSG00000132646,PCNA,YBR088C,POL30,35,36
ENSG00000143933,CALM2,YBR109C,CMD1,59,60
ENSG00000033011,ALG1,YBR110W,ALG1,34,35
ENSG00000106105,GARS,YBR121C,GRS1,41,46
ENSG00000175054,ATR,YBR136W,MEC1,10,12
ENSG00000089737,DDX24,YBR142W,MAK5,26,28
ENSG00000120705,ETF1,YBR143C,sup45,67,67
ENSG00000099817,POLR2E,YBR154C,rpb5,44,43
ENSG00000243725,TTC4,YBR155W,CNS1,22,23
ENSG00000170312,CDK1,YBR160W,cdc28,59,59
ENSG00000148835,TAF5,YBR198C,Taf5,30,30
ENSG00000166508,MCM7,YBR202W,MCM7,49,42
ENSG00000101654,RNMT,YBR236C,ABD1,26,29
ENSG00000145833,DDX46,YBR237W,PRP5,26,31
ENSG00000112578,BYSL,YBR247C,enp1,38,34
ENSG00000128951,DUT,YBR252W,dut1,31,52
ENSG00000105171,POP4,YBR257W,POP4,25,20
ENSG00000087157,PGS1,YCL004W,PGS1,30,32
ENSG00000244005,NFS1,YCL017C,NFS1,60,55
ENSG00000108592,FTSJ3,YCL054W,spb1,35,35
ENSG00000111615,KRR1,YCL059C,KRR1,50,60
ENSG00000102144,PGK1,YCR012W,PGK1,65,65
ENSG00000130638,ATXN10,YCR054C,CTR86,21,17
ENSG00000241945,PWP2,YCR057C,PWP2,42,42
ENSG00000073536,NLE1,YCR072C,RSA4,47,44
ENSG00000127837,AAMP,YCR072C,RSA4,19,16
ENSG00000125107,CNOT1,YCR093W,CDC39,23,26
ENSG00000100764,PSMC1,YDL007W,RPT2,71,72
ENSG00000141552,ANAPC11,YDL008W,APC11,16,19
ENSG00000105202,FBL,YDL014W,NOP1,66,65
ENSG00000099797,TECR,YDL015C,TSC13,27,27
ENSG00000097046,CDC7,YDL017W,CDC7,24,27
ENSG00000112742,TTK,YDL028C,MPS1,16,18
ENSG00000138071,ACTR2,YDL029W,ARP2,66,67
ENSG00000143751,SDE2,YDL030W,PRP9,11,9
ENSG00000123064,DDX54,YDL031W,dbp10,35,31
ENSG00000104897,SF3A2,YDL043C,prp11,14,24
ENSG00000167721,TSR1,YDL060W,tsr1,29,29
ENSG00000103275,UBE2I,YDL064W,UBC9,56,56
ENSG00000198563,DDX39B,YDL084W,SUB2,63,61
ENSG00000108848,LUC7L3,YDL087C,Luc7,16,27
ENSG00000132424,PNISR,YDL087C,Luc7,2,6
ENSG00000108671,PSMD11,YDL097C,Rpn6,42,41
ENSG00000166200,COPS2,YDL097C,Rpn6,16,17
ENSG00000146007,ZMAT2,YDL098C,snu23,22,22
ENSG00000062822,POLD1,YDL102W,pol3,46,47
ENSG00000107672,NSMCE4A,YDL105W,NSE4,21,20
ENSG00000134058,CDK7,YDL108W,KIN28,42,47
ENSG00000165060,FXN,YDL120W,YFH1,26,31
ENSG00000145375,SPATA5,YDL126C,cdc48,32,34
ENSG00000165280,VCP,YDL126C,cdc48,68,66
ENSG00000171763,SPATA5L1,YDL126C,cdc48,32,29
ENSG00000055130,CUL1,YDL132W,CDC53,31,30
ENSG00000108094,CUL2,YDL132W,CDC53,27,25
ENSG00000181222,POLR2A,YDL140C,RPO21,49,56
ENSG00000115484,CCT4,YDL143W,cct4,58,59
ENSG00000122218,COPA,YDL145C,COP1,44,45
ENSG00000138663,COPS4,YDL147W,RPN5,18,16
ENSG00000197170,PSMD12,YDL147W,RPN5,40,41
ENSG00000087269,NOP14,YDL148C,NOP14,23,25
ENSG00000145386,CCNA2,YDL155W,CLB3,18,18
ENSG00000105486,LIG1,YDL164C,CDC9,32,39
ENSG00000111596,CNOT2,YDL165W,CDC36,9,27
ENSG00000153989,NUS1,YDL193W,NUS1,24,19
ENSG00000119392,GLE1,YDL207W,GLE1,16,21
ENSG00000145912,NHP2,YDL208W,NHP2,44,43
ENSG00000177370,TIMM22,YDL217C,tim22,29,28
ENSG00000101003,GINS1,YDR013W,PSF1,24,23
ENSG00000031698,SARS,YDR023W,SES1,45,50
ENSG00000065427,KARS,YDR037W,KRS1,53,56
ENSG00000161980,POLR3K,YDR045C,RPC11,54,53
ENSG00000126088,UROD,YDR047W,hem12,50,51
ENSG00000111669,TPI1,YDR050C,TPI1,47,54
ENSG00000115816,CEBPZ,YDR060W,MAK21,27,27
ENSG00000110700,RPS13,YDR064W,rps13,77,77
ENSG00000160214,RRP1,YDR087C,rrp1,15,26
ENSG00000164609,SLU7,YDR088C,slu7,15,22
ENSG00000164163,ABCE1,YDR091C,rli1,69,68
ENSG00000120656,TAF12,YDR145W,Taf12,33,10
ENSG00000103342,GSPT1,YDR172W,SUP35,42,39
ENSG00000112339,HBS1L,YDR172W,SUP35,29,28
ENSG00000164190,NIPBL,YDR180W,Scc2,10,20
ENSG00000146731,CCT6A,YDR188W,CCT6,57,56
ENSG00000092108,SCFD1,YDR189W,SLY1,33,32
ENSG00000175792,RUVBL1,YDR190C,RVB1,68,67
ENSG00000145191,EIF2B5,YDR211W,GCD6,28,29
ENSG00000120438,TCP1,YDR212W,TCP1,61,61
ENSG00000165494,PCF11,YDR228C,Pcf11,9,23
ENSG00000185246,PRPF39,YDR235W,PRP42,14,17
ENSG00000129083,COPB1,YDR238C,sec26,43,42
ENSG00000118197,DDX59,YDR243C,PRP28,22,23
ENSG00000174243,DDX23,YDR243C,PRP28,27,38
ENSG00000196655,TRAPPC4,YDR246W,Trs23,31,31
ENSG00000144021,CIAO1,YDR267C,cia1,39,40
ENSG00000075914,EXOSC7,YDR280W,RRP45,20,19
ENSG00000120699,EXOSC8,YDR280W,RRP45,26,24
ENSG00000123737,EXOSC9,YDR280W,RRP45,22,33
ENSG00000182934,SRPR,YDR292C,SRP101,31,32
ENSG00000108270,AATF,YDR299W,bfr2,23,24
ENSG00000110768,GTF2H1,YDR311W,Tfb1,20,17
ENSG00000141076,CIRH1A,YDR324C,UTP4,24,21
ENSG00000109805,NCAPG,YDR325W,YCG1,21,21
ENSG00000113558,SKP1,YDR328C,SKP1,52,44
ENSG00000119616,FCF1,YDR339C,FCF1,59,61
ENSG00000113643,RARS,YDR341C,YDR341C,22,24
ENSG00000146282,RARS2,YDR341C,YDR341C,38,36
ENSG00000107949,BCCIP,YDR361C,BCP1,19,22
ENSG00000089048,ESF1,YDR365C,ESF1,24,33
ENSG00000161513,FDXR,YDR376W,ARH1,31,33
ENSG00000126261,UBA2,YDR390C,UBA2,34,34
ENSG00000013275,PSMC4,YDR394W,RPT3,68,66
ENSG00000117505,DR1,YDR397C,NCB2,30,36
ENSG00000163811,WDR43,YDR398W,UTP5,19,20
ENSG00000256872,NOL12,YDR412W,RRP17,23,21
ENSG00000076924,XAB2,YDR416W,SYF1,23,23
ENSG00000185627,PSMD13,YDR427W,Rpn9,28,27
ENSG00000108651,UTP6,YDR449C,utp6,16,21
ENSG00000143774,GUK1,YDR454C,GUK1,35,45
ENSG00000020426,MNAT1,YDR460W,TFB3,30,29
ENSG00000117360,PRPF3,YDR473C,prp3,17,25
ENSG00000188612,SUMO2,YDR510W,Smt3,45,43
ENSG00000103932,RPAP1,YDR527W,RBA50,8,24
ENSG00000244038,DDOST,YEL002C,wbp1,23,25
ENSG00000100138,NHP2L1,YEL026W,snu13,68,69
ENSG00000112118,MCM3,YEL032W,MCM3,45,39
ENSG00000132507,EIF5A,YEL034W,hyp2,53,62
ENSG00000132382,MYBBP1A,YEL055C,pol5,11,14
ENSG00000013375,PGM3,YEL058W,pcm1,42,43
ENSG00000130119,GNL3L,YER006W,NUG1,24,27
ENSG00000163938,GNL3,YER006W,NUG1,26,27
ENSG00000134884,ARGLU1,YER008C,SEC3,4,1
ENSG00000149503,INCENP,YER008C,SEC3,4,3
ENSG00000102898,NUTF2,YER009W,NTF2,41,42
ENSG00000126067,PSMB2,YER012W,PRE1,43,44
ENSG00000005100,DHX33,YER013W,PRP22,39,24
ENSG00000067596,DHX8,YER013W,PRP22,42,45
ENSG00000101452,DHX35,YER013W,PRP22,43,27
ENSG00000140829,DHX38,YER013W,PRP22,28,30
ENSG00000108344,PSMD3,YER021W,Rpn3,30,30
ENSG00000130741,EIF2S3,YER025W,GCD11,69,62
ENSG00000101444,AHCY,YER043C,SAH1,73,70
ENSG00000214113,LYRM4,YER048W-A,isd11,22,31
ENSG00000227057,WDR46,YER082C,UTP7,34,38
ENSG00000108294,PSMB3,YER094C,PUP3,55,55
ENSG00000130520,LSM4,YER112W,LSM4,31,23
ENSG00000164346,NSA2,YER126C,NSA2,62,62
ENSG00000213639,PPP1CB,YER133W,GLC7,77,81
ENSG00000106355,LSM5,YER146W,LSM5,43,42
ENSG00000136152,COG3,YER157W,Cog3,20,20
ENSG00000072756,TRNT1,YER168C,CCA1,24,19
ENSG00000104884,ERCC2,YER171W,rad3,52,51
ENSG00000111364,DDX55,YFL002C,SPB4,37,37
ENSG00000072501,SMC1A,YFL008W,smc1,29,29
ENSG00000143977,SNRPG,YFL017W-A,SMX2,53,52
ENSG00000179115,FARSA,YFL022C,frs2,48,48
ENSG00000074935,TUBE1,YFL037W,TUB2,29,31
ENSG00000140650,PMM2,YFL045C,SEC53,59,57
ENSG00000102900,NUP93,YFR002W,NIC96,24,24
ENSG00000115233,PSMD14,YFR004W,RPN11,64,65
ENSG00000168883,USP39,YFR005C,SAD1,25,31
ENSG00000136824,SMC2,YFR031C,SMC2,35,36
ENSG00000159377,PSMB4,YFR050C,PRE4,39,38
ENSG00000095139,ARCN1,YFR051C,RET2,33,31
ENSG00000099341,PSMD8,YFR052W,RPN12,24,30
ENSG00000100209,HSCB,YGL018C,JAC1,18,23
ENSG00000101811,CSTF2,YGL044C,RNA15,12,24
ENSG00000131795,RBM8A,YGL044C,RNA15,9,5
ENSG00000087191,PSMC5,YGL048C,RPT6,74,74
ENSG00000099194,SCD,YGL055W,ole1,30,21
ENSG00000119523,ALG2,YGL065C,ALG2,41,34
ENSG00000262814,MRPL12,YGL068W,MNP1,33,34
ENSG00000103274,NUBP1,YGL091C,NBP35,51,50
ENSG00000110713,NUP98,YGL092W,NUP145,18,24
ENSG00000180198,RCC1,YGL097W,SRM1,25,24
ENSG00000041802,LSG1,YGL099W,lsg1,34,35
ENSG00000166441,RPL27A,YGL103W,rpl28,61,61
ENSG00000133316,WDR74,YGL111W,NSA1,24,20
ENSG00000106290,TAF6,YGL112C,TAF6,18,24
ENSG00000162227,TAF6L,YGL112C,TAF6,14,16
ENSG00000117399,CDC20,YGL116W,cdc20,32,26
ENSG00000109606,DHX15,YGL120C,PRP43,57,59
ENSG00000140988,RPS2,YGL123W,rps2,48,55
ENSG00000111880,RNGTT,YGL130W,ceg1,8,11
ENSG00000184432,COPB2,YGL137W,sec27,42,43
ENSG00000128908,INO80,YGL150C,Ino80,30,32
ENSG00000196449,YRDC,YGL169W,SUA5,25,16
ENSG00000141141,DDX52,YGL171W,ROK1,38,40
ENSG00000139496,NUPL1,YGL172W,NUP49,3,4
ENSG00000197728,RPS26,YGL189C,RPS26A,63,61
ENSG00000076003,MCM6,YGL201C,MCM6,46,37
ENSG00000092201,SUPT16H,YGL207W,SPT16,35,35
ENSG00000124207,CSE1L,YGL238W,CSE1,36,36
ENSG00000178028,DMAP1,YGR002C,SWC4,22,21
ENSG00000188342,GTF2F2,YGR005C,tfg2,24,15
ENSG00000127554,GFER,YGR029W,ERV1,28,31
ENSG00000144559,TAMM41,YGR046W,TAM41,26,21
ENSG00000119041,GTF3C3,YGR047C,TFC4,23,20
ENSG00000070010,UFD1L,YGR048W,UFD1,40,34
ENSG00000167088,SNRPD1,YGR074W,SMD1,45,37
ENSG00000115211,EIF2B4,YGR083C,gcd2,30,25
ENSG00000165271,NOL6,YGR090W,UTP22,23,22
ENSG00000105618,PRPF31,YGR091W,PRP31,25,25
ENSG00000204394,VARS,YGR094W,VAS1,41,46
ENSG00000077348,EXOSC5,YGR095C,Rrp46,25,26
ENSG00000100029,PES1,YGR103W,NOP7,40,39
ENSG00000109111,SUPT6H,YGR116W,spt6,21,25
ENSG00000115761,NOL10,YGR145W,enp2,40,38
ENSG00000134684,YARS,YGR185C,tys1,35,47
ENSG00000109917,ZNF259,YGR211W,ZPR1,46,43
ENSG00000082898,XPO1,YGR218W,CRM1,47,46
ENSG00000198301,SDAD1,YGR245C,sda1,37,34
ENSG00000185024,BRF1,YGR246C,BRF1,26,29
ENSG00000143106,PSMA5,YGR253C,PUP2,61,57
ENSG00000166986,MARS,YGR264C,mes1,35,42
ENSG00000147133,TAF1,YGR274C,TAF1,15,27
ENSG00000068120,COASY,YGR277C,CAB4,13,26
ENSG00000163510,CWC22,YGR278W,CWC22,19,29
ENSG00000134809,TIMM10,YHR005C-A,TIM10,32,31
ENSG00000134440,NARS,YHR019C,DED81,52,51
ENSG00000136628,EPRS,YHR020W,YHR020W,23,50
ENSG00000140740,UQCRC2,YHR024C,MAS2,25,24
ENSG00000165688,PMPCA,YHR024C,MAS2,31,34
ENSG00000117174,ZNHIT6,YHR040W,BCD1,14,19
ENSG00000133997,MED6,YHR058C,MED6,25,21
ENSG00000148688,RPP30,YHR062C,RPP1,21,23
ENSG00000105671,DDX49,YHR065C,RRP3,37,36
ENSG00000213782,DDX47,YHR065C,RRP3,51,46
ENSG00000130713,EXOSC2,YHR069C,rrp4,41,34
ENSG00000126814,TRMT5,YHR070W,trm5,32,33
ENSG00000182117,NOP10,YHR072W-A,Nop10,55,60
ENSG00000136891,TEX10,YHR085W,IPI1,8,22
ENSG00000180098,TRNAU1AP,YHR086W,NAM8,28,15
ENSG00000117133,RPF1,YHR088W,RPF1,40,47
ENSG00000166595,FAM96B,YHR122W,YHR122W,46,32
ENSG00000094880,CDC23,YHR166C,CDC23,29,28
ENSG00000169251,NMD3,YHR170W,NMD3,44,43
ENSG00000141564,RPTOR,YHR186C,KOG1,36,31
ENSG00000095906,NUBP2,YIL003W,CFD1,49,46
ENSG00000102978,POLR2C,YIL021W,rpb3,45,39
ENSG00000104980,TIMM44,YIL022W,TIM44,25,27
ENSG00000112701,SENP6,YIL031W,ulp2,9,9
ENSG00000104852,SNRNP70,YIL061C,SNP1,19,27
ENSG00000184209,SNRNP35,YIL061C,SNP1,23,19
ENSG00000031823,RANBP3,YIL063C,YRB2,12,21
ENSG00000173692,PSMD1,YIL075C,Rpn2,42,43
ENSG00000113407,TARS,YIL078W,THS1,52,53
ENSG00000143374,TARS2,YIL078W,THS1,45,44
ENSG00000154719,MRPL39,YIL078W,THS1,16,8
ENSG00000117597,DIEXF,YIL091C,YIL091C,29,31
ENSG00000144736,SHQ1,YIL104C,Shq1,22,25
ENSG00000166226,CCT2,YIL142W,CCT2,64,65
ENSG00000163161,ERCC3,YIL143C,ssl2,52,49
ENSG00000080986,NDC80,YIL144W,TID3,20,19
ENSG00000065328,MCM10,YIL150C,Mcm10,13,21
ENSG00000198056,PRIM1,YIR008C,pri1,29,30
ENSG00000142507,PSMB6,YJL001W,PRE3,47,52
ENSG00000163902,RPN1,YJL002C,OST1,20,25
ENSG00000156261,CCT8,YJL008C,CCT8,47,45
ENSG00000196943,NOP9,YJL010C,NOP9,18,17
ENSG00000163468,CCT3,YJL014W,Cct3,58,59
ENSG00000171848,RRM2,YJL026W,Rnr2,51,57
ENSG00000178105,DDX10,YJL033W,HCA4,34,38
ENSG00000189007,ADAT2,YJL035C,TAD2,34,26
ENSG00000155561,NUP205,YJL039C,NUP192,14,17
ENSG00000039123,SKIV2L2,YJL050W,MTR4,52,50
ENSG00000011260,UTP18,YJL069C,utp18,24,22
ENSG00000131153,GINS2,YJL072C,PSF2,26,23
ENSG00000108055,SMC3,YJL074C,smc3,33,33
ENSG00000136518,ACTL6A,YJL081C,ARP4,27,24
ENSG00000217930,PAM16,YJL104W,PAM16,38,32
ENSG00000119285,HEATR1,YJL109C,UTP10,17,21
ENSG00000135624,CCT7,YJL111W,Cct7,62,62
ENSG00000166166,TRMT61A,YJL125C,GCD14,40,31
ENSG00000160752,FDPS,YJL167W,ERG20,37,44
ENSG00000085840,ORC1,YJL194W,cdc6,10,17
ENSG00000094804,CDC6,YJL194W,cdc6,18,20
ENSG00000061936,SFSWAP,YJL203W,PRP21,3,11
ENSG00000099995,SF3A1,YJL203W,PRP21,7,20
ENSG00000124383,MPHOSPH10,YJR002W,MPP10,22,25
ENSG00000106628,POLD2,YJR006W,POL31,31,30
ENSG00000134001,EIF2S1,YJR007W,SUI2,51,53
ENSG00000113013,HSPA9,YJR045C,SSC1,61,64
ENSG00000168393,DTYMK,YJR057W,CDC8,43,42
ENSG00000150753,CCT5,YJR064W,cct5,60,58
ENSG00000115091,ACTR3,YJR065C,arp3,61,57
ENSG00000131966,ACTR10,YJR065C,arp3,16,15
ENSG00000163918,RFC4,YJR068W,RFC2,48,50
ENSG00000198522,GPN1,YJR072C,NPA3,45,45
ENSG00000145216,FIP1L1,YJR093C,Fip1,6,11
ENSG00000113649,TCERG1,YKL012W,PRP40,7,12
ENSG00000196504,PRPF40A,YKL012W,PRP40,16,25
ENSG00000241553,ARPC4,YKL013C,ARC19,61,67
ENSG00000164091,WDR82,YKL018W,Swd2,34,32
ENSG00000111845,PAK1IP1,YKL021C,MAK11,26,22
ENSG00000130177,CDC16,YKL022C,CDC16,29,22
ENSG00000162368,CMPK1,YKL024C,URA6,40,45
ENSG00000153767,GTF2E1,YKL028W,TFA1,20,18
ENSG00000101407,TTI1,YKL033W,TTI1,17,18
ENSG00000115163,CENPA,YKL049C,CSE4,36,22
ENSG00000140307,GTF2A2,YKL058W,TOA2,39,35
ENSG00000122257,RBBP6,YKL059C,MPE1,6,25
ENSG00000148296,SURF6,YKL082C,RRP14,22,18
ENSG00000104957,CCDC130,YKL095W,YJU2,14,20
ENSG00000105248,CCDC94,YKL095W,YJU2,23,26
ENSG00000183520,UTP11L,YKL099C,UTP11,31,31
ENSG00000085721,RRN3,YKL125W,RRN3,21,22
ENSG00000100413,POLR3H,YKL144C,RPC25,44,42
ENSG00000171314,PGAM1,YKL152C,gpm1,50,51
ENSG00000144867,SRPRB,YKL154W,srp102,23,25
ENSG00000117395,EBNA1BP2,YKL172W,ebp2,27,22
ENSG00000265681,RPL17,YKL180W,RPL17A,53,53
ENSG00000135932,CAB39,YKL189W,HYM1,35,30
ENSG00000004779,NDUFAB1,YKL192C,acp1,29,36
ENSG00000115685,PPP1R7,YKL193C,sds22,42,45
ENSG00000163528,CHCHD4,YKL195W,MIA40,36,14
ENSG00000106636,YKT6,YKL196C,YKT6,47,47
ENSG00000130985,UBA1,YKL210W,Uba1,50,52
ENSG00000115421,PAPOLG,YKR002W,PAP1,28,36
ENSG00000092094,OSGEP,YKR038C,KAE1,68,59
ENSG00000001497,LAS1L,YKR063C,LAS1,13,18
ENSG00000054116,TRAPPC3,YKR068C,BET3,53,49
ENSG00000005194,CIAPIN1,YKR071C,DRE2,24,21
ENSG00000006744,ELAC2,YKR079C,TRZ1,22,21
ENSG00000197498,RPF2,YKR081C,RPF2,44,39
ENSG00000124228,DDX27,YLL008W,DRS1,32,34
ENSG00000115866,DARS,YLL018C,DPS1,56,50
ENSG00000143748,NVL,YLL034C,RIX7,39,39
